cell,seed,aggregation,group,n,ce_ctw_original,ce_root_original,ce_ctw_shuffled,ce_root_shuffled,g_original,g_shuffled,q
C0,0,equal_block,HEX,53009.0,4.613495024723953,4.868982783630755,4.806491295568398,4.806491295568398,0.25548775890680187,0.0,0.25548775890680187
C0,0,equal_block,PROSE_ALL,56099.0,4.239180054007151,4.7045709937736975,4.575600211832399,4.575600211832399,0.46539093976654755,0.0,0.46539093976654755
C0,0,equal_block,contrast,,0.3743149707168021,0.1644117898570574,0.23089108373599831,0.23089108373599831,-0.20990318085974569,0.0,-0.20990318085974569
C0,0,eligible_token_weighted,HEX,53009.0,4.568566491627263,4.828738088594765,4.743570737020802,4.743570737020802,0.26017159696750247,0.0,0.26017159696750247
C0,0,eligible_token_weighted,PROSE_ALL,56099.0,4.232477770990543,4.692467749398104,4.56527747544337,4.56527747544337,0.4599899784075604,0.0,0.4599899784075604
C0,0,eligible_token_weighted,contrast,,0.33608872063672024,0.13627033919666065,0.17829326157743175,0.17829326157743175,-0.19981838144005792,0.0,-0.19981838144005792
C0,1,equal_block,HEX,53009.0,4.610026089747138,4.867786101193385,4.788207594521357,4.788207594521357,0.2577600114462473,0.0,0.2577600114462473
C0,1,equal_block,PROSE_ALL,56099.0,4.237989352942693,4.705093787056278,4.575664804296981,4.575664804296981,0.46710443411358415,0.0,0.46710443411358415
C0,1,equal_block,contrast,,0.3720367368044455,0.16269231413710727,0.2125427902243766,0.2125427902243766,-0.20934442266733688,0.0,-0.20934442266733688
C0,1,eligible_token_weighted,HEX,53009.0,4.567513843715225,4.82956194669186,4.737972572955347,4.737972572955347,0.2620481029766351,0.0,0.2620481029766351
C0,1,eligible_token_weighted,PROSE_ALL,56099.0,4.231661482345903,4.692970050938745,4.565100261807384,4.565100261807384,0.4613085685928417,0.0,0.4613085685928417
C0,1,eligible_token_weighted,contrast,,0.33585236136932206,0.13659189575311537,0.1728723111479633,0.1728723111479633,-0.19926046561620658,0.0,-0.19926046561620658
C0,2,equal_block,HEX,53009.0,4.60535222488175,4.868808842731189,4.805558994734361,4.805558994734361,0.2634566178494402,0.0,0.2634566178494402
C0,2,equal_block,PROSE_ALL,56099.0,4.235784023708719,4.705284180810037,4.573576955174978,4.573576955174978,0.4695001571013163,0.0,0.4695001571013163
C0,2,equal_block,contrast,,0.36956820117303035,0.16352466192115234,0.2319820395593828,0.2319820395593828,-0.20604353925187613,0.0,-0.20604353925187613
C0,2,eligible_token_weighted,HEX,53009.0,4.56379929808137,4.829082556761972,4.739984072646301,4.739984072646301,0.26528325868060226,0.0,0.26528325868060226
C0,2,eligible_token_weighted,PROSE_ALL,56099.0,4.229435184737353,4.693336358117208,4.561777113938592,4.561777113938592,0.4639011733798551,0.0,0.4639011733798551
