cell,variant,held_block,held_block_key,seed,doc_id,arm,past_band,implicit_unseen_branch_encounter_count,n,resolved_null_count_by_reason_no_resolved_mass,resolved_valid_count,root_unseen_target_count,sum_observed_mass_by_length_0,sum_observed_mass_by_length_1,sum_observed_mass_by_length_2,sum_observed_mass_by_length_3,sum_observed_mass_by_length_4,sum_observed_mass_by_length_5,sum_observed_mass_by_length_6,sum_observed_mass_by_length_7,sum_observed_mass_by_length_8,sum_resolved_valid,sum_unseen_mass,resolved_mean,unseen_mass_mean,reason,sum_observed_mass_by_length_10,sum_observed_mass_by_length_11,sum_observed_mass_by_length_12,sum_observed_mass_by_length_9
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1566,1989,0,1989,0,0.0,1681.9383099466106,304.73079491932947,0.3959705403799458,0.1280829584349318,6.424594979142126e-05,6.531189104254231e-05,3.943168573413303e-21,0.0,2296.80229481074,1.8067120774042529,1.1547522849727199,0.0009083519745622186,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5229,5238,2,5236,3,0.0,4514.960044456381,709.8776695573504,0.6748749735763885,0.1566249273377706,0.005823219180842922,3.9645345539930986e-10,1.1159935592363513e-15,6.51020508444349e-155,5949.831772612139,12.324962865777351,1.136331507374358,0.002352990237834546,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1956,1989,0,1989,1,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,2,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1577,1989,0,1989,0,0.0,1681.825306466661,304.4709170605871,0.8596969460270761,0.25147260692297,8.381416636532917e-08,8.884703441178048e-08,7.163901624643271e-23,0.0,2297.7447192860423,1.5926067471406378,1.1552261032106799,0.0008007072635196771,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5232,5238,2,5236,3,0.0,4513.770897152091,711.2620798183516,0.9519915338250533,0.15901178006684555,0.010990944078850718,0.002728346913319878,8.838497564463201e-46,2.5115305948661157e-151,5952.426385847286,11.8423004246736,1.1368270408417276,0.0022608439145997707,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1952,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1598,1989,0,1989,0,0.0,1681.9915299125212,303.57785019075595,0.41812722550747816,0.08547444656488266,0.004937775565053619,1.1041988760843099e-23,1e-323,0.0,2295.7181395615603,2.9220804490854295,1.1542072094326599,0.0014691203866693963,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5228,5238,2,5236,3,0.0,4516.150946418365,710.6516016858193,1.1630251541421877,0.1671594761105828,0.0015984639131752174,8.640435702619373e-05,2.0441709087665605e-22,1.5905930149523243e-159,5953.718161377764,9.86558239729281,1.1370737512180604,0.0018834636115488373,,,,,
