cell,variant,held_block,held_block_key,seed,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,0,4_7,5641,23534.489360373016,25990.41714449477,25547.425266141618,25547.425266141618,4892,5641,4.172042077711933,4.607413072947132,0.43537099523519895,4.528882337553912,4.528882337553912,0.0,0.43537099523519895,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,0,ge8,11050,47151.486465569185,52233.97125114188,50662.30291894256,50662.30291894256,9966,11050,4.267102847562822,4.727056221822794,0.45995337425997196,4.584823793569463,4.584823793569463,0.0,0.45995337425997196,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,1,4_7,5641,23557.2221890857,25984.76539682998,25623.654961285607,25623.65496128561,4948,5641,4.176072006574313,4.606411167670622,0.43033916109630876,4.542395844936289,4.54239584493629,8.881784197001252e-16,0.4303391610963079,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,1,ge8,11050,47130.79075697618,52214.73529803176,50426.14760051351,50426.14760051352,9920,11050,4.265229932758025,4.7253154115865845,0.4600854788285593,4.563452271539684,4.563452271539685,8.881784197001252e-16,0.46008547882855844,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,2,4_7,5641,23537.079358238738,25986.873690456392,25616.30049531579,25616.30049531579,4976,5641,4.172501215784211,4.606784912330507,0.43428369654629595,4.541092092770039,4.541092092770039,0.0,0.43428369654629595,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,2,ge8,11050,47147.37890515265,52254.361196438935,50424.76656046178,50424.76656046179,9876,11050,4.266731122638249,4.72890146574108,0.462170343102831,4.563327290539528,4.563327290539529,8.881784197001252e-16,0.4621703431028301,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,3,4_7,5641,23549.070238145934,25975.194850603646,25472.51492331371,25472.514923313713,4900,5641,4.174626881429877,4.604714563127751,0.4300876816978745,4.515602716417959,4.51560271641796,8.881784197001252e-16,0.4300876816978736,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,3,ge8,11050,47108.25010168498,52220.21940899224,50527.583731955194,50527.583731955194,9943,11050,4.26319005445113,4.725811711221017,0.46262165676988776,4.572632011941646,4.572632011941646,0.0,0.46262165676988776,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,4,4_7,5641,23529.967410122517,25990.508301448415,25579.13619870727,25579.13619870727,4954,5641,4.171240455614699,4.607429232662367,0.43618877704766845,4.5345038466065,4.5345038466065,0.0,0.43618877704766845,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,4,ge8,11050,47161.47408164604,52253.439617521704,50541.892568184005,50541.892568184005,9909,11050,4.268006704221361,4.7288180649340905,0.46081136071272955,4.573926929247421,4.573926929247421,0.0,0.46081136071272955,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,5,4_7,5641,23530.148626642484,25990.39871814217,25532.63803244415,25532.638032444152,4993,5641,4.171272580507442,4.607409806442504,0.4361372259350622,4.526260952392155,4.526260952392156,8.881784197001252e-16,0.4361372259350613,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,5,ge8,11050,47148.864749061584,52232.97296661001,50588.892575749756,50588.89257574976,9894,11050,4.266865588150369,4.726965879331223,0.4601002911808534,4.578180323597263,4.578180323597263,0.0,0.4601002911808534,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,6,4_7,5641,23539.387950214175,25979.945426279173,25525.673016200883,25525.673016200883,4936,5641,4.172910468040095,4.605556714461828,0.43264624642173377,4.52502623935488,4.52502623935488,0.0,0.43264624642173377,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,6,ge8,11050,47164.89522854328,52228.05619155574,50495.033186926914,50495.033186926914,9920,11050,4.26831631027541,4.726520922312737,0.4582046120373269,4.569686261260355,4.569686261260355,0.0,0.4582046120373269,
C0,ud23,ATHENAEUS,4352f04fcfd7cbe580caddf69f309034ffb967d5d1bc8a8e809498de5bf8d329,7,4_7,5641,23509.208481882244,25974.255923673303,25621.720607559826,25621.72060755983,4914,5641,4.167560447062975,4.604548116233523,0.43698766917054765,4.5420529352171295,4.5420529352171295,0.0,0.43698766917054765,
