cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8374.897737188978,9243.304079763348,9123.727102431714,9123.727102431716,1734,1989,4.210607208239808,4.647211704255077,0.43660449601526885,4.587092560297493,4.587092560297494,8.881784197001252e-16,0.43660449601526796,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22851.099111356554,25105.296429024416,24228.28584856907,24228.28584856907,4712,5238,4.362561876929468,4.792916462203974,0.43035458527450565,4.625484125347284,4.625484125347284,0.0,0.43035458527450565,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8396.95532482448,9248.206052861742,9171.129260395914,9171.129260395914,1764,1989,4.221696995889633,4.6496762457826755,0.4279792498930428,4.610924716136709,4.610924716136709,0.0,0.4279792498930428,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22895.71412233721,25112.650557835932,24129.375392383165,24129.375392383165,4752,5238,4.371079442981522,4.794320457777001,0.4232410147954795,4.606600876743636,4.606600876743636,0.0,0.4232410147954795,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8377.682577933881,9246.360659427253,9153.854296132646,9153.854296132646,1750,1989,4.212007329277969,4.648748446167549,0.4367411168895794,4.602239465124508,4.602239465124508,0.0,0.4367411168895794,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22866.88654875356,25120.672057819265,24144.706593664618,24144.706593664618,4758,5238,4.36557589705108,4.7958518628902755,0.43027596583919525,4.60952779565953,4.60952779565953,0.0,0.43027596583919525,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8383.634802801462,9244.110236127759,9129.112166376312,9129.112166376312,1746,1989,4.214999900855436,4.647617011627832,0.4326171107723962,4.58979998309518,4.58979998309518,0.0,0.4326171107723962,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22849.01064829339,25108.509859349746,24147.547038083285,24147.547038083285,4719,5238,4.36216316309534,4.793529946420341,0.431366783325001,4.610070072180848,4.610070072180848,0.0,0.431366783325001,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8386.508236668284,9246.140276810458,9151.668668488534,9151.668668488534,1755,1989,4.216444563433024,4.648637645455233,0.4321930820222093,4.6011406075859895,4.6011406075859895,0.0,0.4321930820222093,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,9,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22863.24791649454,25117.98534290466,24180.75373777647,24180.75373777647,4714,5238,4.364881236444166,4.79533893526244,0.430457698818274,4.616409648296386,4.616409648296386,0.0,0.430457698818274,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8374.420807051445,9247.234337487944,9121.537332075062,9121.537332075062,1744,1989,4.210367424359701,4.649187701100022,0.4388202767403211,4.585991619947241,4.585991619947241,0.0,0.4388202767403211,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,10,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22850.869116841703,25111.14971114544,24392.518735059322,24392.518735059322,4754,5238,4.362517968087381,4.79403392729008,0.4315159592026987,4.656838246479443,4.656838246479443,0.0,0.4315159592026987,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,11,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8386.90237390079,9245.490958561832,9187.763243776555,9187.763243776555,1758,1989,4.216642721920961,4.6483111908304835,0.43166846890952293,4.619287704261717,4.619287704261717,0.0,0.43166846890952293,
