cell,seed,aggregation,block,held_block_key,group,n,weight,share,training_tokens,available_tokens,training_share,fold_training_tokens,fold_share_HEX,fold_share_PROSE_ALL,fold_share_own_group
C0,1,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,2,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,3,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,4,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,5,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,6,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,7,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,8,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,9,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,10,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,11,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,12,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,13,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,14,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,15,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,16,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,17,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,18,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,19,equal_block,DIODORUS,d91dad02f8da03cf6702fa7edec531da5e56f526f466e2f04180f2a23a1cf315,PROSE_ALL,12334,1.0,0.2,8884,15266,0.5819468099043626,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,0,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,1,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,2,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,3,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,4,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,5,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,6,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,7,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,8,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,9,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,10,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,11,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,12,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,13,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,14,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,15,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,16,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,17,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,18,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,19,equal_block,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,PROSE_ALL,12946,1.0,0.2,8884,17301,0.5134963296919253,53304,0.3333333333333333,0.6666666666666666,0.6666666666666666
C0,0,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,1,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,2,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,3,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,4,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,5,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,6,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,7,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,8,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
C0,9,equal_block,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,HEX,6375,1.0,0.5,8884,9282,0.9571213100624866,53304,0.16666666666666666,0.8333333333333334,0.16666666666666666
